el auógrafo	autograph
el camerino	dressing room
la cirugía estética	plastic surgery
el donate de órganos	organ donor
el escenario	stage
el/la falsificador(a)	forger
la monja	nun
los prejuicios	prejudices
trans/transgénero	trans
atropellar a	to run over/to knock down
enterrar	to bury
falsificar	"to forge, to falsify"
hacer de	to play the role of
SIDA	AIDS
ingenuo(a)	naive
aprenderse/saberse de memoria	to memorize/know something by heart
dar a luz	to give birth
estar embarazada	to be pregnant
interpretar el papel de	to play the role of
ser seropositivo(a)	to be HIV positive
el ascenso	promotion
el asombro	astonishment
el caldo	broth
el canciller	chancellor
la cintura	"waist, waistline, lower back"
el desánimo	discouragement
